
# Curve 0 of 1, 401 points
# x y type
   1.60892    -269.6044789173  i
   1.60915    -269.6044807830  i
   1.60938    -269.6044825543  i
   1.60960    -269.6044842313  i
   1.60983    -269.6044858140  i
   1.61005    -269.6044873027  i
   1.61027    -269.6044886972  i
   1.61050    -269.6044899976  i
   1.61072    -269.6044912040  i
   1.61095    -269.6044923163  i
   1.61118    -269.6044933346  i
   1.61140    -269.6044942587  i
   1.61163    -269.6044950889  i
   1.61185    -269.6044958250  i
   1.61207    -269.6044964671  i
   1.61230    -269.6044970152  i
   1.61252    -269.6044974693  i
   1.61275    -269.6044978294  i
   1.61298    -269.6044980955  i
   1.61320    -269.6044982676  i
   1.61342    -269.6044983458  i
   1.61365    -269.6044983300  i
   1.61387    -269.6044982203  i
   1.61410    -269.6044980166  i
   1.61433    -269.6044977190  i
   1.61455    -269.6044973275  i
   1.61478    -269.6044968421  i
   1.61500    -269.6044962627  i
   1.61522    -269.6044955895  i
   1.61545    -269.6044948224  i
   1.61567    -269.6044939614  i
   1.61590    -269.6044930066  i
   1.61613    -269.6044919579  i
   1.61635    -269.6044908154  i
   1.61658    -269.6044895791  i
   1.61680    -269.6044882489  i
   1.61702    -269.6044868249  i
   1.61725    -269.6044853071  i
   1.61747    -269.6044836955  i
   1.61770    -269.6044819901  i
   1.61793    -269.6044801909  i
   1.61815    -269.6044782980  i
   1.61837    -269.6044763113  i
   1.61860    -269.6044742309  i
   1.61882    -269.6044720567  i
   1.61905    -269.6044697888  i
   1.61928    -269.6044674271  i
   1.61950    -269.6044649718  i
   1.61973    -269.6044624227  i
   1.61995    -269.6044597800  i
   1.62017    -269.6044570436  i
   1.62040    -269.6044542134  i
   1.62062    -269.6044512895  i
   1.62085    -269.6044482717  i
   1.62108    -269.6044451600  i
   1.62130    -269.6044419544  i
   1.62152    -269.6044386548  i
   1.62175    -269.6044352612  i
   1.62197    -269.6044317734  i
   1.62220    -269.6044281914  i
   1.62243    -269.6044245152  i
   1.62265    -269.6044207448  i
   1.62288    -269.6044168800  i
   1.62310    -269.6044129208  i
   1.62332    -269.6044088672  i
   1.62355    -269.6044047190  i
   1.62377    -269.6044004763  i
   1.62400    -269.6043961390  i
   1.62423    -269.6043917071  i
   1.62445    -269.6043871804  i
   1.62467    -269.6043825589  i
   1.62490    -269.6043778426  i
   1.62512    -269.6043730314  i
   1.62535    -269.6043681252  i
   1.62557    -269.6043631241  i
   1.62580    -269.6043580278  i
   1.62603    -269.6043528365  i
   1.62625    -269.6043475500  i
   1.62647    -269.6043421683  i
   1.62670    -269.6043366913  i
   1.62692    -269.6043311190  i
   1.62715    -269.6043254513  i
   1.62738    -269.6043196881  i
   1.62760    -269.6043138294  i
   1.62783    -269.6043078752  i
   1.62805    -269.6043018253  i
   1.62827    -269.6042956798  i
   1.62850    -269.6042894386  i
   1.62872    -269.6042831016  i
   1.62895    -269.6042766687  i
   1.62918    -269.6042701400  i
   1.62940    -269.6042635153  i
   1.62962    -269.6042567946  i
   1.62985    -269.6042499779  i
   1.63007    -269.6042430650  i
   1.63030    -269.6042360561  i
   1.63053    -269.6042289514  i
   1.63075    -269.6042217510  i
   1.63098    -269.6042144553  i
   1.63120    -269.6042070644  i
   1.63142    -269.6041995785  i
   1.63165    -269.6041919980  i
   1.63187    -269.6041843231  i
   1.63210    -269.6041765539  i
   1.63233    -269.6041686907  i
   1.63255    -269.6041607337  i
   1.63277    -269.6041526832  i
   1.63300    -269.6041445394  i
   1.63322    -269.6041363025  i
   1.63345    -269.6041279728  i
   1.63367    -269.6041195505  i
   1.63390    -269.6041110357  i
   1.63413    -269.6041024288  i
   1.63435    -269.6040937300  i
   1.63457    -269.6040849395  i
   1.63480    -269.6040760576  i
   1.63502    -269.6040670844  i
   1.63525    -269.6040580202  i
   1.63548    -269.6040488652  i
   1.63570    -269.6040396197  i
   1.63592    -269.6040302839  i
   1.63615    -269.6040208580  i
   1.63637    -269.6040113422  i
   1.63660    -269.6040017369  i
   1.63682    -269.6039920421  i
   1.63705    -269.6039822582  i
   1.63728    -269.6039723854  i
   1.63750    -269.6039624238  i
   1.63772    -269.6039523738  i
   1.63795    -269.6039422356  i
   1.63817    -269.6039320093  i
   1.63840    -269.6039216953  i
   1.63862    -269.6039112938  i
   1.63885    -269.6039008049  i
   1.63908    -269.6038902289  i
   1.63930    -269.6038795661  i
   1.63952    -269.6038688167  i
   1.63975    -269.6038579809  i
   1.63997    -269.6038470589  i
   1.64020    -269.6038360508  i
   1.64043    -269.6038249562  i
   1.64065    -269.6038137741  i
   1.64087    -269.6038025038  i
   1.64110    -269.6037911445  i
   1.64132    -269.6037796954  i
   1.64155    -269.6037681557  i
   1.64177    -269.6037565246  i
   1.64200    -269.6037448013  i
   1.64223    -269.6037329849  i
   1.64245    -269.6037210748  i
   1.64267    -269.6037090700  i
   1.64290    -269.6036969699  i
   1.64312    -269.6036847735  i
   1.64335    -269.6036724802  i
   1.64358    -269.6036600891  i
   1.64380    -269.6036475993  i
   1.64402    -269.6036350102  i
   1.64425    -269.6036223208  i
   1.64447    -269.6036095305  i
   1.64470    -269.6035966384  i
   1.64492    -269.6035836437  i
   1.64515    -269.6035705456  i
   1.64538    -269.6035573433  i
   1.64560    -269.6035440360  i
   1.64582    -269.6035306230  i
   1.64605    -269.6035171033  i
   1.64627    -269.6035034763  i
   1.64650    -269.6034897411  i
   1.64672    -269.6034758969  i
   1.64695    -269.6034619429  i
   1.64717    -269.6034478783  i
   1.64740    -269.6034337024  i
   1.64762    -269.6034194143  i
   1.64785    -269.6034050132  i
   1.64807    -269.6033904983  i
   1.64830    -269.6033758689  i
   1.64853    -269.6033611241  i
   1.64875    -269.6033462631  i
   1.64897    -269.6033312851  i
   1.64920    -269.6033161894  i
   1.64942    -269.6033009751  i
   1.64965    -269.6032856415  i
   1.64987    -269.6032701877  i
   1.65010    -269.6032546129  i
   1.65033    -269.6032389181  i
   1.65055    -269.6032231058  i
   1.65077    -269.6032071788  i
   1.65100    -269.6031911398  i
   1.65122    -269.6031749915  i
   1.65145    -269.6031587367  i
   1.65168    -269.6031423781  i
   1.65190    -269.6031259184  i
   1.65212    -269.6031093604  i
   1.65235    -269.6030927067  i
   1.65257    -269.6030759602  i
   1.65280    -269.6030591235  i
   1.65302    -269.6030421995  i
   1.65325    -269.6030251907  i
   1.65348    -269.6030081000  i
   1.65370    -269.6029909301  i
   1.65392    -269.6029736837  i
   1.65415    -269.6029563635  i
   1.65437    -269.6029389723  i
   1.65460    -269.6029215128  i
   1.65482    -269.6029039878  i
   1.65505    -269.6028863999  i
   1.65527    -269.6028687519  i
   1.65550    -269.6028510466  i
   1.65572    -269.6028332866  i
   1.65595    -269.6028154748  i
   1.65617    -269.6027976137  i
   1.65640    -269.6027797062  i
   1.65663    -269.6027617551  i
   1.65685    -269.6027437629  i
   1.65707    -269.6027257325  i
   1.65730    -269.6027076666  i
   1.65752    -269.6026895679  i
   1.65775    -269.6026714391  i
   1.65797    -269.6026532831  i
   1.65820    -269.6026351024  i
   1.65842    -269.6026168999  i
   1.65865    -269.6025986783  i
   1.65887    -269.6025804403  i
   1.65910    -269.6025621886  i
   1.65932    -269.6025439260  i
   1.65955    -269.6025256552  i
   1.65978    -269.6025073790  i
   1.66000    -269.6024891000  i

